Opportunity Name,Level 2 Government,Bridge Name,Project Code,Stage,Sub-Stage,B2P Fiscal Year,latitude,longitude,Individuals Directly Served,Population Estimate 2000m
Uganda - Kanyangeye-Kisege - 1039088,Ntoroko,Kanyangeye-Kisege,1039088,Identified,Identified in Needs Assessment,2023,0.905942,30.230273,920,
Uganda - Kalengeja B - 1038748,Buliisa,Kalengeja B,1038748,Prospecting,,2023,1.769101,31.446347,0,
Uganda - Bushibuya Upper - 1011805,Bududa,Bushibuya Upper,1011805,Identified,Identified in Needs Assessment,2017,1.062098,34.40238,6000,13120
Uganda - Nyinabirere- musenyi A - 1044650,Kabale,Nyinabirere- musenyi A,1044650,Identified,Identified in Needs Assessment,2024,-1.459017,29.913755,1470,
Uganda - Kahondo S S - 1044648,Kabale,Kahondo S S,1044648,Identified,Identified in Needs Assessment,2024,-1.290838,30.152855,3000,
Uganda - Kanyamuningi - 1044555,Kyenjojo,Kanyamuningi,1044555,Rejected,Technical,2024,0.371791,30.622213,30000,
Uganda - KAGANDO 2 CELL - 1036888,Kasese,KAGANDO 2 CELL,1036888,Identified,Identified in Needs Assessment,2023,0.070146,29.910995,0,
Uganda - DUBAI - 1036883,Kasese,DUBAI,1036883,Identified,Identified in Needs Assessment,2023,0.076826,29.900453,0,
Uganda - KATHASENDA- KILHAMBAYIRO - 1036889,Kasese,KATHASENDA- KILHAMBAYIRO,1036889,Identified,Identified in Needs Assessment,2023,0.043354,29.850649,0,
Uganda - NYAKATSE - 1036890,Kasese,NYAKATSE,1036890,Identified,Identified in Needs Assessment,2023,0.092171,29.894541,0,
Uganda - NYAKATSE - 1036891,Kasese,NYAKATSE,1036891,Identified,Identified in Needs Assessment,2023,0.087095,29.897366,0,
Uganda - NGOME  KAJOROGHO - 1036893,Kasese,NGOME  KAJOROGHO,1036893,Identified,Identified in Needs Assessment,2023,0.098871,29.917701,0,
Uganda - Kiruruma - 1039096,Kiruhura,Kiruruma,1039096,Identified,Identified in Needs Assessment,2023,-0.723571,29.716605,3230,
Uganda - Omukarere - 1044651,Kabale,Omukarere,1044651,Identified,Identified in Needs Assessment,2024,-1.30694,30.151032,1700,
Uganda - Nyamitooma - 1044649,Kabale,Nyamitooma,1044649,Identified,Identified in Needs Assessment,2024,-1.423826,29.968972,1200,
- Papapi-kyamukwenda - 1037597,Hoima,Papapi-kyamukwenda,1037597,Identified,,2021,1.70499,31.333819,,
Uganda - Kapapi - 1037599,Hoima,Kapapi,1037599,Identified,Identified in Needs Assessment,2021,1.639781,31.340486,,
Uganda - Kyabayenze - 1015937,Kasese,Kyabayenze,1015937,Complete,In Service,2021,0.088369,29.741353,23416,
Uganda - Muchomo-Bunatondo - 1012297,Bududa,Muchomo-Bunatondo,1012297,Identified,Identified in Needs Assessment,2017,1.029264,34.39792,585,14666
Uganda - Mount Gessi audit ssc option - 1022843,Kabarole,Mount Gessi audit ssc option,1022843,Identified,Identified in Needs Assessment,2020,0.660786,30.150146,0,
Uganda - Mabaale- muyanja(kibaale) - 1038937,Kyegegwa,Mabaale- muyanja(kibaale),1038937,Identified,Identified in Needs Assessment,2023,0.704141,30.949423,4450,
Uganda - Kasili - 1012683,Bundibugyo,Kasili,1012683,Identified,Identified in Needs Assessment,2017,0.693256,29.974573,22500,5933
Uganda - Nyambaro - 1012749,Bundibugyo,Nyambaro,1012749,Identified,Identified in Needs Assessment,2017,0.674206,29.985053,,
Uganda - Bimara - 1012747,Bundibugyo,Bimara,1012747,Identified,Identified in Needs Assessment,2017,0.689072,30.07887,10000,
Uganda - Kibale 1 - 1012748,Bundibugyo,Kibale 1,1012748,Identified,Identified in Needs Assessment,2017,0.68098,30.070957,9200,
Uganda - Biibo - 1012745,Bundibugyo,Biibo,1012745,Rejected,Technical,2017,0.672019,30.08527,19400,
Uganda - Kamwam - 1011162,Kween,Kamwam,1011162,Identified,Identified in Needs Assessment,2017,1.410572,34.610469,8600,6851
Uganda - Rosti - 1011161,Kween,Rosti,1011161,Identified,Identified in Needs Assessment,2017,1.378749,34.648091,2450,7612
Uganda - Rwakasenyi - 1013585,Bundibugyo,Rwakasenyi,1013585,Identified,Identified in Needs Assessment,2019,0.891714,30.178511,1750,
Uganda - Kasumbelya - 1013817,Bundibugyo,Kasumbelya,1013817,Complete,,2022,0.642,30.000455,8218,
Uganda - Hamuyaga- buyaga - 1038885,Kyegegwa,Hamuyaga- buyaga,1038885,Identified,Identified in Needs Assessment,2023,0.632542,31.211681,450,
Uganda - Tuyobei - 1011084,Bukwa,Tuyobei,1011084,Complete,In Service,2020,1.439188,34.726114,1709,1066
Uganda - Buhara-Kitangira - 1025794,Kabarole,Buhara-Kitangira,1025794,Rejected,Technical,2021,0.701746,30.223653,0,
Uganda - Kyantambara-Twoto - 1025800,Kabarole,Kyantambara-Twoto,1025800,Identified,Identified in Needs Assessment,2021,0.49267,30.316441,0,
Uganda - Kihogo - 1025804,Kabarole,Kihogo,1025804,Identified,Identified in Needs Assessment,2021,0.452906,30.313568,0,
Uganda - Itojo- kakindo - 1039089,Ntoroko,Itojo- kakindo,1039089,Identified,Identified in Needs Assessment,2023,0.842671,30.236381,1110,
Uganda - Karusandara-Kikoonjo - 1039308,Kasese,Karusandara-Kikoonjo,1039308,Identified,Requested,2022,,,,
Uganda - Karujumba - 1014456,Kasese,Karujumba,1014456,Identified,Identified in Needs Assessment,2019,0.064435,29.911981,15755,
Uganda - Bundimbheku - 1013266,Bundibugyo,Bundimbheku,1013266,Identified,Identified in Needs Assessment,2017,0.758385,30.096467,1742,
Uganda - Sooko B -Kagorogoro - 1041011,Ibanda,Sooko B -Kagorogoro,1041011,Identified,Identified in Needs Assessment,2023,0.147966,30.560356,1740,
Uganda - Nyamarebe -Soweto - 1041010,Ibanda,Nyamarebe -Soweto,1041010,Rejected,Technical,2023,0.129619,30.535793,2420,
Uganda - Nyakitokoli A-Buhami - 1022743,Kabarole,Nyakitokoli A-Buhami,1022743,Identified,Identified in Needs Assessment,2020,0.6832,30.172702,0,
Uganda - Bulyambuzi B-Nyakabira - 1022741,Kabarole,Bulyambuzi B-Nyakabira,1022741,Identified,Identified in Needs Assessment,2020,0.764399,30.315507,1250,
Uganda - Nyataboma central-Kicalaca - 1022732,Kabarole,Nyataboma central-Kicalaca,1022732,Identified,Identified in Needs Assessment,2020,0.736377,30.297,0,
Uganda - Kitonya - 1022729,Kabarole,Kitonya,1022729,Identified,Identified in Needs Assessment,2020,0.612115,30.149292,4883,
Uganda - Kabasanja-Mwokya - 1022744,Kabarole,Kabasanja-Mwokya,1022744,Identified,Identified in Needs Assessment,2020,0.753969,30.347315,1600,
Uganda - Butulya upper bridge - 1022736,Kabarole,Butulya upper bridge,1022736,Rejected,Technical,2020,0.705787,30.183862,3980,
Uganda - Kamabale A- Kamabale B - 1022730,Kabarole,Kamabale A- Kamabale B,1022730,Rejected,Technical,2021,0.63191,30.157504,2724,
Uganda - Nybabuswa - 1022727,Kabarole,Nybabuswa,1022727,Rejected,Technical,2021,0.627926,30.166071,3500,
Uganda - Nyakasoha - 1013997,Bundibugyo,Nyakasoha,1013997,Identified,Identified in Needs Assessment,2019,0.665085,29.974431,1300,
Uganda - Shanzou-Nalufutu - 1012374,Bududa,Shanzou-Nalufutu,1012374,Identified,Identified in Needs Assessment,2017,1.040645,34.33537,2510,21562
Uganda - Mihani-Karichadi - 1014455,Kasese,Mihani-Karichadi,1014455,Complete,In Service,2022,0.464045,30.139073,5195,
Uganda - Bulyambuzi B-Buharani - 1022739,Kabarole,Bulyambuzi B-Buharani,1022739,Identified,Identified in Needs Assessment,2020,0.759376,30.307662,1850,
Uganda - Buhamwa-Kanyamura - 1022737,Kabarole,Buhamwa-Kanyamura,1022737,Rejected,Technical,2020,0.687546,30.174183,0,
Uganda - Bulega-mpinga - 1022740,Kabarole,Bulega-mpinga,1022740,Identified,Identified in Needs Assessment,2020,0.744009,30.317333,2300,
Uganda - Nyakanengo - 1022226,Rubirizi,Nyakanengo,1022226,Identified,Identified in Needs Assessment,2020,-0.170735,30.17835,1872,
Uganda - Bukyaba - 1022220,Rubirizi,Bukyaba,1022220,Identified,Identified in Needs Assessment,2020,-0.314403,30.092098,2000,
Uganda - Kyamuhamira-Itojo - 1039079,Ntoroko,Kyamuhamira-Itojo,1039079,Identified,Identified in Needs Assessment,2023,0.843757,30.220885,1865,
Uganda - Kataburaza cell - 1039099,Kanungu,Kataburaza cell,1039099,Identified,Identified in Needs Assessment,2023,-0.935014,29.630709,1270,
Uganda - Nazwazwa - 1011696,Bulambuli,Nazwazwa,1011696,Identified,Identified in Needs Assessment,2017,1.212136,34.394997,9300,11856
Uganda - Namalemu - 1012054,Bududa,Namalemu,1012054,Identified,Identified in Needs Assessment,2017,0.987674,34.306409,570,14387
Uganda - Kikuyu - 1011474,Bulambuli,Kikuyu,1011474,Complete,In Service,2020,1.273242,34.312632,2521,5742
Uganda - Kidibo - 1011473,Bulambuli,Kidibo,1011473,Identified,Identified in Needs Assessment,2017,1.252943,34.329206,8800,9469
Uganda - Shikho-Nakalwa - 1012296,Bududa,Shikho-Nakalwa,1012296,Identified,Identified in Needs Assessment,2017,1.042445,34.407845,405,12323
Uganda - Lunza-Shibumba - 1012050,Bududa,Lunza-Shibumba,1012050,Identified,Identified in Needs Assessment,2017,1.054546,34.343935,4190,26505
Uganda - Kemawa - 1011594,Kapchorwa,Kemawa,1011594,Identified,Identified in Needs Assessment,2017,1.32593,34.3454,700,11127
Uganda - Chesoyen - 1011593,Kapchorwa,Chesoyen,1011593,Identified,Identified in Needs Assessment,2017,1.31696,34.36053,600,11773
Uganda - Rwembogo- Rushambuye - 1038888,Kyegegwa,Rwembogo- Rushambuye,1038888,Identified,Identified in Needs Assessment,2023,0.28099,30.8896,2670,
Uganda - Sabiny Kaptokwoy - 1010459,Kapchorwa,Sabiny Kaptokwoy,1010459,Identified,Identified in Needs Assessment,2017,1.3790778,34.4580097,,8685
Uganda - Sanzara - 1010460,Kapchorwa,Sanzara,1010460,Complete,In Service,2020,1.373657,34.3343225,1730,1880
Uganda - Rushango - 1025838,Ibanda,Rushango,1025838,Identified,Identified in Needs Assessment,2021,0.148178,30.560468,0,
Uganda - KANYAMPARA WATER CHANNEL 11 - 1036878,Kasese,KANYAMPARA WATER CHANNEL 11,1036878,Identified,Identified in Needs Assessment,2023,0.035902,29.857091,0,
Uganda - KEMANGO  NYAMUTOTO - 1036887,Kasese,KEMANGO  NYAMUTOTO,1036887,Identified,Identified in Needs Assessment,2023,0.022898,29.856564,0,
Uganda - BUKANGARA KYESERO 2 - 1036884,Kasese,BUKANGARA KYESERO 2,1036884,Identified,Identified in Needs Assessment,2023,0.00871,29.814928,0,
Uganda - KANYAMPARA  MIDDLE - 1036886,Kasese,KANYAMPARA  MIDDLE,1036886,Identified,Identified in Needs Assessment,2023,0.031104,29.868645,0,
Uganda - NKUNYU I - 1036880,Kasese,NKUNYU I,1036880,Identified,Identified in Needs Assessment,2023,0.02403,29.84045,0,
Uganda - LYAKIREMA 11 NYAKASOJO - 1036879,Kasese,LYAKIREMA 11 NYAKASOJO,1036879,Identified,Identified in Needs Assessment,2023,0.031185,29.808621,0,
Uganda - NYABIRONGO - 1036881,Kasese,NYABIRONGO,1036881,Identified,Identified in Needs Assessment,2023,0.069131,29.871359,0,
Uganda - NYAKASOJO  KYABIRUNGU - 1036885,Kasese,NYAKASOJO  KYABIRUNGU,1036885,Identified,Identified in Needs Assessment,2023,0.032395,29.814517,0,
Uganda - NYAKATSE - 1036882,Kasese,NYAKATSE,1036882,Identified,Identified in Needs Assessment,2023,0.094603,29.893158,0,
Uganda - Rweygenyi - 1044652,Kabale,Rweygenyi,1044652,Rejected,Technical,2024,-1.233164,30.156179,9,
Uganda - Kitooma-Nyamasoga - 1044561,Kyenjojo,Kitooma-Nyamasoga,1044561,Identified,Identified in Needs Assessment,2024,0.779182,30.548953,90,
Uganda - Nyakitokoli b second site - 1022859,Kabarole,Nyakitokoli b second site,1022859,Rejected,Technical,2020,0.687056,30.174623,0,
Uganda - Mount Gessi Alternate Location - 1022862,Kabarole,Mount Gessi Alternate Location,1022862,Identified,Identified in Needs Assessment,2020,0.661233,30.150787,0,
Uganda - Nyankilo - 1012960,Bundibugyo,Nyankilo,1012960,Identified,Identified in Needs Assessment,2017,0.735176,30.059877,,
Uganda - Kawuswo - 1011085,Bukwa,Kawuswo,1011085,Complete,In Service,2020,1.419135,34.72236,1374,27
Uganda - Chemukun - 1011087,Bukwa,Chemukun,1011087,Identified,Identified in Needs Assessment,2017,1.283875,34.699737,3900,7342
Uganda - Sungora - 1011086,Bukwa,Sungora,1011086,Identified,Identified in Needs Assessment,2017,1.280194,34.708485,3900,7648
Uganda - Atikili - 1011083,Bukwa,Atikili,1011083,Identified,Identified in Needs Assessment,2017,1.402592,34.712112,4000,11
Uganda - Kapoko-Burama - 1014650,Kasese,Kapoko-Burama,1014650,Identified,Identified in Needs Assessment,2019,0.214105,30.039798,4700,
Uganda - Nyakaka-Buhati - 1014651,Kasese,Nyakaka-Buhati,1014651,Identified,Identified in Needs Assessment,2019,0.472357,30.093033,6000,
Uganda - COMPASSION - 1036872,Kasese,COMPASSION,1036872,Identified,Identified in Needs Assessment,2023,0.098281,29.740045,0,
Uganda - KATHOLHU KIHAGHURA - 1036874,Kasese,KATHOLHU KIHAGHURA,1036874,Identified,Identified in Needs Assessment,2023,-0.013707,29.771137,0,
Uganda - NYAMUSULE IHANDIRO - 1036867,Kasese,NYAMUSULE IHANDIRO,1036867,Identified,Identified in Needs Assessment,2023,0.091797,29.776594,0,
Uganda - MALABA - 1036869,Kasese,MALABA,1036869,Identified,Identified in Needs Assessment,2023,0.104166,29.73709,0,
Uganda - KABANDYA - 1036868,Kasese,KABANDYA,1036868,Identified,Identified in Needs Assessment,2023,0.117068,29.784565,0,
Uganda - KATHASENDA  KASUNGU - 1036870,Kasese,KATHASENDA  KASUNGU,1036870,Identified,Identified in Needs Assessment,2023,0.037928,29.846857,0,
Uganda - Biwa - 1011804,Sironko,Biwa,1011804,Identified,Identified in Needs Assessment,2017,1.192809,34.303274,33000,8428
Uganda - Bsuhe - 1037305,Kalungu,Bsuhe,1037305,Identified,,2021,,,,
Uganda - Buwambwa Chesoma - 1008793,Namisindwa,Buwambwa Chesoma,1008793,Identified,Identified in Needs Assessment,2017,0.884084,34.406513,2000,15241
Uganda - Rugarama 1023074 audit - 1023311,Ibanda,Rugarama 1023074 audit,1023311,Identified,Identified in Needs Assessment,2020,,,0,
Uganda - Mirambi - 1021825,Ibanda,Mirambi,1021825,Identified,Identified in Needs Assessment,2020,-0.126645,30.422006,24900,
Uganda - Lyambwe - 1013267,Bundibugyo,Lyambwe,1013267,Identified,Identified in Needs Assessment,2017,0.732674,30.10893,8295,
Uganda - Kaleyaleya II - 1012968,Bundibugyo,Kaleyaleya II,1012968,Identified,Identified in Needs Assessment,2017,0.635027,30.030583,3550,
Uganda - Nkisya - 1013291,Bundibugyo,Nkisya,1013291,Identified,Identified in Needs Assessment,2018,0.799587,30.146764,500,
Uganda - Mitunda - 1013821,Bundibugyo,Mitunda,1013821,Identified,Identified in Needs Assessment,2019,0.614398,29.991385,1900,
Uganda - Kabingo-Busingo - 1014458,Kasese,Kabingo-Busingo,1014458,Identified,Identified in Needs Assessment,2019,0.150543,29.926509,6000,
Uganda - Lhume-Gatyanga - 1036851,Kasese,Lhume-Gatyanga,1036851,Identified,Identified in Needs Assessment,2021,0.375295,30.204147,0,
Uganda - Kaswa-Mbata - 1036854,Kasese,Kaswa-Mbata,1036854,Identified,Identified in Needs Assessment,2021,0.42759,30.102894,0,
Uganda - Nyabubale - Mubuku Prison - 1036852,Kasese,Nyabubale - Mubuku Prison,1036852,Identified,Identified in Needs Assessment,2021,0.247111,30.144712,0,
Uganda - Kalhubulha - 1036856,Kasese,Kalhubulha,1036856,Identified,Identified in Needs Assessment,2021,0.430342,30.169275,0,
Uganda - Bwesumbu 2 - Kabatunda 2 - 1036855,Kasese,Bwesumbu 2 - Kabatunda 2,1036855,Identified,Identified in Needs Assessment,2021,0.427928,30.144296,0,
Uganda - KYAMAKUNGU - 1036853,Kasese,KYAMAKUNGU,1036853,Identified,Identified in Needs Assessment,2023,0.109207,29.932376,0,
Uganda - Kasilingi-Gatyanga - 1036850,Kasese,Kasilingi-Gatyanga,1036850,Identified,Identified in Needs Assessment,2021,0.376899,30.199969,0,
Uganda - Ibunda - 1026002,Kasese,Ibunda,1026002,Identified,Identified in Needs Assessment,2021,0.39827,30.095476,0,
Uganda - Kibumba-Kabuyiri - 1025981,Kasese,Kibumba-Kabuyiri,1025981,Identified,Identified in Needs Assessment,2021,0.343093,30.105057,0,
Uganda - Butera - 1026005,Kasese,Butera,1026005,Identified,Identified in Needs Assessment,2021,0.394115,30.133835,0,
Uganda - Nyangere-Katebe - 1025980,Kasese,Nyangere-Katebe,1025980,Identified,Identified in Needs Assessment,2021,0.34525,30.124218,0,
Uganda - Sinai-Kinyabwamba - 1025999,Kasese,Sinai-Kinyabwamba,1025999,Identified,Identified in Needs Assessment,2021,0.321499,30.147008,0,
Uganda - Bukhatsa - 1011590,Bukhalu,Bukhatsa,1011590,Rejected,Technical,2019,1.308002,34.241758,3358,2931
Uganda - Maaba - 1012295,Bududa,Maaba,1012295,Identified,Identified in Needs Assessment,2017,0.996547,34.37058,695,17350
Uganda - Matuba - 1011475,Bulambuli,Matuba,1011475,Identified,Identified in Needs Assessment,2017,1.280827,34.314366,2780,5747
Uganda - Mulyasabu - 1036860,Kasese,Mulyasabu,1036860,Identified,Identified in Needs Assessment,2021,0.357672,30.064732,0,
Uganda - Kibuga - 1036857,Kasese,Kibuga,1036857,Identified,Identified in Needs Assessment,2021,0.234287,30.178211,0,
Uganda - Nyambuku - 1036859,Kasese,Nyambuku,1036859,Identified,Identified in Needs Assessment,2021,0.354563,30.067922,0,
Uganda - Kisebere-kinone - 1041134,Kasese,Kisebere-kinone,1041134,Identified,Requested,2023,0.118933,29.755611,11669,
Uganda - Kapoko-kabwe - 1041136,Kasese,Kapoko-kabwe,1041136,Ready to Confirm,,2023,0.214428,30.039868,1150,
Uganda - Kanyogoga-Bugoloobi bangalow - 1025575,Kampala,Kanyogoga-Bugoloobi bangalow,1025575,Prospecting,,2023,0.304449,32.619833,30500,
Uganda - Laigong - 1011289,Kween,Laigong,1011289,Rejected,,2019,1.356256,34.50558,3250,8339
Uganda - Kapchemelei - 1011290,Kween,Kapchemelei,1011290,Identified,Identified in Needs Assessment,2020,1.359521,34.522313,3550,6869
Uganda - Kitaka-karokalungi - 1025840,Ibanda,Kitaka-karokalungi,1025840,Identified,Identified in Needs Assessment,2024,-0.121584,30.297479,0,
Uganda - Kabingo kibathi - 1041135,Kasese,Kabingo kibathi,1041135,Confirmed,,2023,0.150647,29.926455,17482,
Uganda - Ntaraga - 1042646,Rukiga,Ntaraga,1042646,Identified,Identified in Needs Assessment,2024,-1.088575,30.014854,910,
Uganda - Biwawa- Bukimaswa - 1042476,Bududa,Biwawa- Bukimaswa,1042476,Identified,Identified in Needs Assessment,2023,1.049512,34.384994,1600,
Uganda - Hakatoma- kyabashaho - 1042841,Kabale,Hakatoma- kyabashaho,1042841,Identified,Identified in Needs Assessment,2024,-1.250716,30.073432,2900,
Uganda - Kalebya II - 1012964,Bundibugyo,Kalebya II,1012964,Rejected,Technical,2017,0.684517,30.090303,1880,
Uganda - Kabira- Nyakaina - 1042651,Rukiga,Kabira- Nyakaina,1042651,Identified,Identified in Needs Assessment,2024,-1.234743,30.177013,500,
Uganda - Kama - UG101,Mbale,Kama,UG101,Complete,In Service,2018,1.11633,34.25246,5280,16243
Uganda - Kanyabugunga-Kabwema - 1042754,Rukiga,Kanyabugunga-Kabwema,1042754,Identified,Identified in Needs Assessment,2024,-1.035622,29.960792,4100,
Uganda - katohire - 1042835,Kabale,katohire,1042835,Identified,Identified in Needs Assessment,2024,-1.304815,30.103335,7000,
Uganda - Katanda 1- Kakindo A - 1022222,Rubirizi,Katanda 1- Kakindo A,1022222,Identified,Identified in Needs Assessment,2020,-0.225961,30.172146,8242,
Uganda - Kazaroho - 1013819,Bundibugyo,Kazaroho,1013819,Identified,Identified in Needs Assessment,2019,0.583917,29.971551,1600,
Uganda - Kitibya - 1042840,Kabale,Kitibya,1042840,Identified,Identified in Needs Assessment,2024,-1.290181,30.047202,4800,
Uganda - Omukisyama-Nyanja trading center - 1042842,Kabale,Omukisyama-Nyanja trading center,1042842,Identified,Identified in Needs Assessment,2024,-1.28817,30.094482,3600,
Uganda - Nyakanengo - 1042752,Rukiga,Nyakanengo,1042752,Identified,Identified in Needs Assessment,2024,-1.184254,30.113938,1600,
Uganda - Kidibo- Namwenje - 1042474,Bulambuli,Kidibo- Namwenje,1042474,Identified,Identified in Needs Assessment,2023,1.253142,34.329432,34200,
Uganda - Rubi - 1011803,Sironko,Rubi,1011803,Rejected,Technical,2017,1.132371,34.421984,,3244
Uganda - St. Joseph's bridge - 1011082,Bukwa,St. Joseph's bridge,1011082,Identified,Identified in Needs Assessment,2017,1.297243,34.746294,11000,6235
Uganda - Kamabwe - 1036858,Kasese,Kamabwe,1036858,Identified,Identified in Needs Assessment,2021,0.351061,30.073315,0,
Uganda - Kihanga- Ruhitta - 1042846,Kabale,Kihanga- Ruhitta,1042846,Identified,Identified in Needs Assessment,2024,-1.402487,30.037742,4350,
Uganda - Mukokye kahondo - 1042836,Kabale,Mukokye kahondo,1042836,Identified,Identified in Needs Assessment,2024,-1.338786,30.163179,1450,
Uganda - Karujabura - 1042844,Kabale,Karujabura,1042844,Identified,Identified in Needs Assessment,2024,-1.26516,29.969911,2566,
Uganda - Karuwe - 1039077,Ntoroko,Karuwe,1039077,Identified,Identified in Needs Assessment,2023,0.740607,30.196921,1590,
Uganda - Kahondo Church - Nyamwirima - 1042839,Kabale,Kahondo Church - Nyamwirima,1042839,Identified,Identified in Needs Assessment,2024,-1.293,30.15263,2400,
Uganda - Rwatamakara - 1042753,Rukiga,Rwatamakara,1042753,Prospecting,,2024,-1.142506,30.08878,3400,
Uganda - Bunyanga- Bumwalye - 1042482,Bududa,Bunyanga- Bumwalye,1042482,Identified,Identified in Needs Assessment,2023,1.031987,34.36931,1600,
Uganda - Nkondo A - Nkondo B - 1043216,Rubirizi,Nkondo A - Nkondo B,1043216,Identified,Identified in Needs Assessment,2024,-0.290064,30.082289,2020,
Uganda - Nyakanengo- Nyakahitta - 1043211,Rubirizi,Nyakanengo- Nyakahitta,1043211,Identified,Identified in Needs Assessment,2024,-0.166482,30.178766,2015,
Uganda - Kibira-Samazi - 1042475,Bulambuli,Kibira-Samazi,1042475,Identified,Identified in Needs Assessment,2023,1.285081,34.304173,5200,
Uganda - Kabirizi- Nyangorogoro - 1043214,Rubirizi,Kabirizi- Nyangorogoro,1043214,Rejected,,2024,-0.276036,30.142681,370,
Uganda - Nyakahitta - 1042652,Kabale,Nyakahitta,1042652,Identified,Identified in Needs Assessment,2024,-1.393311,29.969235,,
Uganda - Kihongorwa- Kicwamba - 1038887,Kyegegwa,Kihongorwa- Kicwamba,1038887,Identified,Identified in Needs Assessment,2023,0.695889,30.971645,3020,
Uganda - Mpulya - 1013292,Bundibugyo,Mpulya,1013292,Identified,Identified in Needs Assessment,2018,0.800634,30.138757,1512,
Uganda - Kasulenge II - 1013264,Bundibugyo,Kasulenge II,1013264,Identified,Identified in Needs Assessment,2017,0.737634,30.100656,1670,
Uganda - Waaki West- lokawaki ( kapapi subcounty) - 1038785,Buliisa,Waaki West- lokawaki ( kapapi subcounty),1038785,Identified,Identified in Needs Assessment,2023,1.721079,31.374273,6850,
Uganda - Rufula - 1013815,Bundibugyo,Rufula,1013815,Identified,Identified in Needs Assessment,2019,0.711685,30.06621,1400,
Uganda - Ntagata - 1013822,Bundibugyo,Ntagata,1013822,Identified,Identified in Needs Assessment,2019,0.613734,29.979797,1950,
Uganda - Kyabarungi-Kayongo(biiso t/c) - 1038820,Buliisa,Kyabarungi-Kayongo(biiso t/c),1038820,Identified,Identified in Needs Assessment,2023,1.740875,31.428679,0,
Uganda - Mburakasaka - 1013587,Kasese,Mburakasaka,1013587,Identified,Identified in Needs Assessment,2019,0.186533,30.030177,2650,
Uganda - Mugume - 1038791,Buliisa,Mugume,1038791,Complete,,2023,1.731617,31.3768,3096,
Uganda - Waaki East - 1038817,Buliisa,Waaki East,1038817,Identified,Identified in Needs Assessment,2023,1.705923,31.384239,0,
